App Name,Publisher Name,Publisher Domain,Real Domain,Categorie,Rating Score,Rating Number,Developer Email
Vivint Smart Home,Vivint,http://www.vivint.com,vivint.com,"Lifestyle,Productivity",4.5,24952,
Care.com: Hire Babysitters,"Care.com, Inc.",,,"Lifestyle,Utilities",4.5,60308,
My Love - Relationship Counter,Bjoern Bartels,http://itunes.apple.com/app/id409609608?mt=8,apple.com,"Lifestyle,Utilities",5,46047,
InboxDollars Surveys,"InboxDollars, Inc.",,,Lifestyle,4.5,123054,
Free Audiobooks,RB Audiobooks USA LLC,http://www.audiobooks.net/free-audiobooks,audiobooks.net,"Lifestyle,Entertainment",4,988,
Rent.com Apartments & Homes,"RentPath, LLC",https://rent.com,rent.com,"Lifestyle,Utilities",4.5,27851,
Homesnap Real Estate & Rentals,"Homesnap, Inc.",http://www.homesnap.com/iphone,homesnap.com,"Lifestyle,Photo & Video",4.5,42958,support@homesnap.com
HotPads - Apartment Rentals,Hotpads.com,http://hotpads.com,hotpads.com,Lifestyle,4.5,52576,iphonesupport@hotpads.com.
iRobot HOME,iRobot Corporation,http://www.irobot.com/,irobot.com,"Lifestyle,Utilities",4.5,29550,
Ins Insights: Follower Tracker,Mobile News Network,,,"Lifestyle,Social Networking",4.5,1104,
INKHUNTER Try Tattoo Designs,Kateryna Khotkevych,http://inkhunter.tattoo/,inkhunter.tattoo,"Lifestyle,Photo & Video",5,14662,
AARP Now,AARP,http://now.aarp.org,aarp.org,"Lifestyle,News",3,1328,
ADT Control ®,ADT LLC,http://www.adt.com/home-security,adt.com,"Lifestyle,Utilities",5,11944,
Evite: Online & Text Invites,"Evite, Inc",https://www.evite.com,evite.com,"Lifestyle,Social Networking",5,474751,
Punchbowl: Invitations & Cards,"Punchbowl, Inc.",,,Lifestyle,5,55637,help@punchbowl.com
cherie - real skincare reviews,"Real Deal Learning, Inc.",https://www.cherie.com/,cherie.com,"Lifestyle,Social Networking",3.5,58,
sendit | anonymous stickers,"fullsenders, inc.",http://getsendit.com,getsendit.com,Lifestyle,5,59636,
ColorSnap® Visualizer iPhone,The Sherwin-Williams Company,http://www.sherwin-williams.com/,sherwin-williams.com,"Lifestyle,Photo & Video",3,13851,
Philips Hue,Signify Netherlands B.V.,https://www.meethue.com,meethue.com,"Lifestyle,Health & Fitness",4,14378,
Zodiac Master Plus - Palm Scan,"Fishmobi Co., Ltd.",,,Lifestyle,4,21368,feedback@fishmobinet.com
AncestryDNA,Ancestry.com,,,Lifestyle,5,93816,
"Moco - Chat, Meet People",MocoSpace,http://www.mocospace.com,mocospace.com,"Lifestyle,Social Networking",4,36919,
Jassby: Chores & Allowance App,"Jassby, Inc",https://jassby.com,jassby.com,"Lifestyle,Finance",4,187,
HomeGoods,HomeGoods,http://thegoods.homegoods.com,homegoods.com,Lifestyle,2.5,1459,
Curiosity Lab-Fun Test,Amila Mobile Limited,,,"Lifestyle,Entertainment",4,153,CuriosityLabApp@outlook.com.
Sandboxx,"Sandbox Family Communication, Inc",https://www.sandboxx.us,sandboxx.us,"Lifestyle,Social Networking",5,24599,
"OnMyWay: Drive Safe, Get Paid",omw,,,Lifestyle,4,17347,
Auto Club App,American Automobile Association,,,Lifestyle,4.5,8320,
Alarm.com,Alarm.com,http://www.alarm.com,alarm.com,"Lifestyle,Utilities",4.5,42835,
Toyota,"Toyota Motor Sales, U.S.A., Inc.",https://www.toyota.com,toyota.com,"Lifestyle,Utilities",2.5,517,
CanEnrich,chenyu Wang,,,Lifestyle,4,17,
Toyota Entune,"Toyota Motor Sales, U.S.A., Inc.",,,Lifestyle,1.5,4293,
Openroad: Help in a Car Crash,"TrueMotion, Inc.",http://getopenroad.app,getopenroad.app,Lifestyle,5,279,hi@getopenroad.app.
HER: Lesbian Dating & Chat App,Bloomer Inc,https://weareher.com/,weareher.com,"Lifestyle,Social Networking",4,21874,
My Home by ShowingTime,ShowingTime,https://www.showingtime.com/my-home,showingtime.com,Lifestyle,5,2425,
Xfinity Home,Comcast,http://www.xfinity.com/homesecurity,xfinity.com,Lifestyle,4,12831,
Secret Arrangement Dating App,Jishuan Wang,,,"Lifestyle,Social Networking",5,559,
KW: Buy & Sell Real Estate,KW Realty,http://www.kw.com,kw.com,Lifestyle,5,63521,
Map My Walk by Under Armour,"Under Armour, Inc.",http://www.mapmywalk.com,mapmywalk.com,"Lifestyle,Health & Fitness",5,242760,
TaskRabbit - Handyman & More,TaskRabbit,https://www.taskrabbit.com,taskrabbit.com,"Lifestyle,Social Networking",4.5,11920,
Threesome Dating Swingers App,Hang Dan,,,"Lifestyle,Social Networking",4.5,4717,
Perfect365,"Perfect365, Inc.",https://www.perfect365.com,perfect365.com,"Lifestyle,Photo & Video",5,131440,
"Catch, #1 FWB Hookup App",Ke Zhu,https://www.catchpersonals.com/,catchpersonals.com,Lifestyle,4.5,2713,feedback@catchpersonals.com
Luxer One,Luxer One,http://luxerone.com,luxerone.com,Lifestyle,3.5,58,res_app_feedback@luxerone.com.
Future Baby & Palm Reader,Sinobase Network Technology Limited,,,Lifestyle,4,1203,
New Owlet,Owlet Baby Care Inc.,http://owletcare.com/pages/sock-cam,owletcare.com,"Lifestyle,Health & Fitness",4.5,10056,
Smart Family Companion,Verizon Wireless,https://vzw.com/smartfamily/,vzw.com,"Lifestyle,Utilities",1.5,3528,
Honeywell Home,"Resideo Technologies, Inc.",https://www.honeywellhome.com/homeapp,honeywellhome.com,"Lifestyle,Utilities",4.5,174078,
Coffee Meets Bagel Dating App,"Coffee Meets Bagel, Inc",,,"Lifestyle,Social Networking",4.5,113787,
Wallpapers HD for iPhone 11 X,Skol Games LLC,,,Lifestyle,4.5,8600,support-apps@skolgames.com
Adult Chat : Hookup Dating App,JIANBING HE,,,"Lifestyle,Social Networking",4,75,naughtychatfeedback@hotmail.com
Wedding Planner by The Knot,The Knot Inc.,https://www.theknot.com,theknot.com,"Lifestyle,Social Networking",4.5,49197,
Live Wallpaper & Wallpapers HD,Appic Stars LLC,https://appicstars.com/apps/live-wallpapers/,appicstars.com,"Lifestyle,Entertainment",4.5,5524,
LG ThinQ,"LG Electronics, Inc.",,,Lifestyle,3.5,6488,
HOO Live - Meet and Chat,Yanzhi Zeng,,,"Lifestyle,Entertainment",4.5,602,
One Night Stand: hookup finder,XinLin Yao,,,"Lifestyle,Social Networking",4.5,1645,
"Astroline astrology, horoscope","VEBMART GRUPP, OOO",,,Lifestyle,4,9588,
mSpy Lite Phone Family Tracker,Veraniz Holding Ltd,https://mliteapp.com/,mliteapp.com,"Lifestyle,Utilities",4,2236,support@mliteapp.com
YI Home,"Shanghai Xiaoyi Technology Co., Ltd.",,,"Lifestyle,Photo & Video",4.5,25357,
Roomster: Roommates & Rooms,Roomster Corp.,,,"Lifestyle,Social Networking",4,20564,
WiZ App,TAOlight Company Limited,http://wiz.world,wiz.world,Lifestyle,2.5,404,
Chitter - anonymous chat,Wefaaq Co,,,"Lifestyle,Entertainment",4,1492,
CocoPPa - cute icon&wallpaper,"UNITED, Inc.",,,"Lifestyle,Entertainment",3.5,16476,"support@cocoppa.com,corporate@cocoppa.com"
"illus - Cartoon, Hair salon",do4health,,,Lifestyle,4,3899,feedback@chevalmobile.com
happn — Dating app,HAPPN SAS,,,"Lifestyle,Social Networking",4.5,54649,
ADT Pulse ®,ADT LLC,http://www.adtpulse.com,adtpulse.com,"Lifestyle,Utilities",5,630560,
Magic Home Pro,zhibiao Lin,,,Lifestyle,2.5,568,
Daily Horoscope Plus® 2019,Tap Genius,http://c1a19120fe7eaf425d1b04f0a92ccdda-store.appcloudbox.net,appcloudbox.net,"Lifestyle,Entertainment",4.5,81863,
PetDesk,"Locai, Inc.",http://www.petdesk.com,petdesk.com,"Lifestyle,Utilities",5,103757,
GeoZilla Find Family & Friends,GeoZilla Inc,http://www.geozilla.com,geozilla.com,"Lifestyle,Social Networking",4.5,20256,support@geozilla.com.
Parental Control App - OurPact,Eturi Corp.,http://ourpact.com,ourpact.com,"Lifestyle,Utilities",4.5,37044,support@ourpact.com
Buxbo - Redeem Coupons & Save!,Buxbo,https://buxbo.app,buxbo.app,"Lifestyle,Shopping",4.5,356,
HondaLink,"American Honda Motor Co., Inc.",,,Lifestyle,2.5,3572,
Nintendo Switch Parental Cont…,"Nintendo Co., Ltd.",https://www.nintendo.com/switch,nintendo.com,"Lifestyle,Utilities",4.5,56974,
Vagaro,Vagaro Inc,https://www.vagaro.com,vagaro.com,"Lifestyle,Health & Fitness",4.5,3987,
Daily Horoscope - Astrology !,Bosphorus Mobile LLC,,,"Lifestyle,Utilities",4.5,13443,
Adult Friend Affair Finder,Arseniy Lavrentev,https://tabooapp.dating/,tabooapp.dating,"Lifestyle,Social Networking",4.5,7172,
Palm Reader Insights Palmistry,the Digitalists Interactive Agency Ltd,,,Lifestyle,4,6783,
Real-Me: Tests & Insights,Unbing Ltd.,,,"Lifestyle,Utilities",3,930,applepd@unbing.net
eero home WiFi system,eero inc.,http://eero.com,eero.com,"Lifestyle,Utilities",3.5,840,support@eero.com.
My Lawn: A Guide to Lawn Care,Scotts Miracle-Gro,https://www.scotts.com/en-us/mylawnapp,scotts.com,"Lifestyle,Productivity",3,5251,
Best Live Wallpapers,Eightpoint Technologies,,,"Lifestyle,Entertainment",4.5,383,
WINIX SMART for C545,WINIX INC.,https://winixamerica.com/,winixamerica.com,"Lifestyle,Utilities",2,265,
Surveys On The Go,"MFour Mobile Research, Inc",https://surveysonthego.com,surveysonthego.com,"Lifestyle,Social Networking",4.5,49574,
Sparkly Painting,WENHUI HUANG,http://anythingtodjge.com,anythingtodjge.com,Lifestyle,5,18580,
Houzz - Home Design & Remodel,Houzz Inc.,http://www.houzz.com/,houzz.com,"Lifestyle,Shopping",5,234086,
Project Color™ The Home Depot,"The Home Depot, Inc.",http://homedepot.com/mobile,homedepot.com,"Lifestyle,Shopping",4.5,17651,
Watch Faces - Cool Wallpapers,DZMITRY STASIULEVICH,,,"Lifestyle,Utilities",4.5,1940,
KBB.com-New & Used Car Prices,Kelley Blue Book,http://kbb.com/company/mobile/,kbb.com,"Lifestyle,Reference",3,7969,
BILT,BILT Incorporated,http://biltapp.com,biltapp.com,"Lifestyle,Productivity",5,3858,
Entune™ 3.0 App Suite Connect,"Toyota Motor Sales, U.S.A., Inc.",http://www.toyota.com/entune,toyota.com,Lifestyle,1.5,1606,
Sex Positions 3D,Lukas Lubbe,,,"Lifestyle,Education",3.5,955,
StyleSeat - Salon Appointments,"StyleSeat, Inc.",http://www.styleseat.com,styleseat.com,"Lifestyle,Business",5,167161,
Apartment Finder,Network Communications Inc,http://www.apartmentfinder.com,apartmentfinder.com,"Lifestyle,Utilities",3,5643,
Watch Face Albums,YiFei Wang,,,"Lifestyle,Utilities",4.5,8020,indiedavid2019@gmail.com.
Instawork Gigs & Jobs,Instawork,http://www.instawork.com,instawork.com,"Lifestyle,Food & Drink",4.5,4865,instaworkers@instawork.com
Tesla,"Tesla, Inc.",https://www.tesla.com,tesla.com,"Lifestyle,Utilities",4,3213,
Tattoodo - Your Next Tattoo,TATTOODO,https://www.tattoodo.com/app/,tattoodo.com,"Lifestyle,Photo & Video",4.5,3150,
I Am Sober,I Am Sober LLC,https://iamsober.com,iamsober.com,"Lifestyle,Health & Fitness",5,28786,sales@iamsober.com
SaferKid Text Monitoring App,"SaferKid, Inc.",,,Lifestyle,4.5,3396,
ecobee,ecobee,https://ecobee.com/,ecobee.com,"Lifestyle,Utilities",4,9726,ios@ecobee.com
Dirty Game - Hot Truth or Dare,Nour Nicolaos Moubayed,https://dirtygameapp.com,dirtygameapp.com,"Lifestyle,Entertainment",4.5,64200,
Find my Friends & Family Phone,Altercon,http://kidgy.com/,kidgy.com,"Lifestyle,Education",4.5,1241,support@kidgy.com
Money App – Cash & Rewards App,"Money Rewards Online, Ltd",http://www.moneyapp.org,moneyapp.org,"Lifestyle,Productivity",5,105983,support@moneyapp.org
Live Wallpapers 3d & HD Themes,Tu Nguyen,https://www.facebook.com/5kstudio/,facebook.com,"Lifestyle,Utilities",4,903,
DressLily - Fashion Trend,Dest Technology Limited,http://www.dresslily.com/m-article-id-86.html,dresslily.com,"Lifestyle,Shopping",4,1604,
GoodPup: Dog Training at Home,"PetCareNow, Inc.",https://petcarenow.com,petcarenow.com,"Lifestyle,Education",5,1584,hello@goodpup.com.
Elite Seeking Arrangement Love,GD Angel Networks,http://elite-dating-app.com,elite-dating-app.com,Lifestyle,4,496,info@clubber.life
Verizon Smart Family™,Verizon Wireless,https://vzw.com/smartfamily/,vzw.com,"Lifestyle,Utilities",4,15891,
Flirt Fish: One Night Hookup,MINBO XIAO,,,"Lifestyle,Social Networking",5,2574,
Handy.com,"Handybook, Inc.",http://handy.com,handy.com,"Lifestyle,Utilities",4,14347,
"Wallpapers HD for iPhone, iPod and iPad","StuckPixel, Inc.",http://stuckpixelstudios.com/portfolio/detail/wallpapers-hd/,stuckpixelstudios.com,"Lifestyle,Photo & Video",4,49984,
Alfred Home Security Camera,Alfred Systems Inc.,https://alfred.camera/?utm_source=itunes.apple.com&utm_medium=referral&utm_campaign=website,alfred.camera,"Lifestyle,Utilities",4.5,33656,
