App Name,Publisher Name,Publisher Domain,Categorie,Rating Score,Rating Number,Developer Email
Sweatcoin - It Pays To Walk,Sweatco Ltd,https://sweatco.in,"Health & Fitness,Finance",4.5,137704,
Nike Run Club,"Nike, Inc",https://www.nike.com/us/en_us/c/running/nike-run-club,"Health & Fitness,Sports",4.5,359808,
Lifesum: Diet & Macro Tracker,Lifesum AB,http://lifesum.com,"Health & Fitness,Lifestyle",4.5,86325,
Carb Manager: Keto Diet App,Wombat Apps LLC,https://www.carbmanager.com,"Health & Fitness,Lifestyle",5,422652,
Sleep Cycle - Sleep Better,Sleep Cycle AB,http://www.sleepcycle.com,"Health & Fitness,Utilities",4.5,325789,
FitOn: Fitness Workout Plans,FitOn Inc.,https://fitonapp.com,"Health & Fitness,Lifestyle",5,53715,
Clue Period & Cycle Tracker,BioWink GmbH,http://helloclue.com,"Health & Fitness,Medical",5,238662,
BetterMe: Meditation & Sleep,BetterMe Limited,,"Health & Fitness,Lifestyle",4.5,3402,support@betterme.tips.
Zero - Fasting Tracker,Big Sky Health,http://www.zerofasting.com,"Health & Fitness,Lifestyle",5,215639,
BetterMe: Track Diet & Workout,Genesis Technology Partners,,"Health & Fitness,Lifestyle",4.5,75351,
CDC,Centers For Disease Control and Prevention,http://www.cdc.gov,"Health & Fitness,Medical",3,94,
"AllTrails: Hike, Bike & Run","AllTrails, Inc.",https://www.alltrails.com,"Health & Fitness,Travel",5,329111,support@alltrails.com
Pregnancy & Baby Tracker WTE,"Everyday Health, Inc.",http://www.whattoexpect.com/mobile-app/,"Health & Fitness,Lifestyle",4.5,297025,
Fabulous - Daily Motivation,Fabulous,http://thefabulous.co,"Health & Fitness,Lifestyle",4.5,24775,hello@thefabulous.co
WW Weight Watchers Reimagined,"WW International, Inc.",https://www.weightwatchers.com/us/article/using-ww-mobile-app,"Health & Fitness,Lifestyle",4.5,1208080,
Home Workout - No Equipments,ABISHKKING LIMITED.,,Health & Fitness,5,20579,
Pillow Automatic Sleep Tracker,Neybox Digital Ltd.,http://neybox.com/pillow,"Health & Fitness,Lifestyle",4.5,51034,
Relax Melodies: Sleep Sounds,Ipnos Software Inc.,http://www.ipnos.com/,Health & Fitness,4.5,333619,support@ipnos.com
VASA Fitness Mobile,VASA Fitness,https://vasafitness.com,"Health & Fitness,Sports",4,377,
Period Tracker Period Calendar,ABISHKKING LIMITED.,http://simpledesign.ltd/,"Health & Fitness,Utilities",5,74632,
Simple: Fasting & Meal Tracker,AM APPS,,"Health & Fitness,Lifestyle",5,25363,
Sleep,Bending Spoons Apps IVS,http://bendingspoonsapps.com/products.html?app=1447478883,"Health & Fitness,Lifestyle",4.5,6218,sleep@bendingspoons.com
Pregnancy Tracker - BabyCenter,BabyCenter,https://www.babycenter.com,"Health & Fitness,Medical",5,105715,
Instant Heart Rate: HR Monitor,Azumio Inc.,http://www.azumio.com/apps/heart-rate/,"Health & Fitness,Medical",5,138569,
"MINDBODY: Fitness, Salon & Spa",MINDBODY Inc.,http://getmindbody.com/,"Health & Fitness,Lifestyle",5,100201,
MyPlate Calorie Counter,Leaf Group Ltd.,http://www.livestrong.com/mobile-apps/,"Health & Fitness,Food & Drink",4.5,38174,
Yoga | Down Dog,Yoga Buddhi Co.,,"Health & Fitness,Lifestyle",5,96510,
Verv: Fitness & Health Workout,Verv Inc.,https://verv.com,"Health & Fitness,Lifestyle",4.5,1619,
Pulse Beat. Heart Rate Monitor,CHENGWU UAB,,"Health & Fitness,Lifestyle",2,1192,
Fitbod Gym & Home Workout Log,Fitbod Inc.,http://fitbod.me,"Health & Fitness,Sports",5,92854,
Fitingo®- Weight Loss Workouts,Fitingo,,Health & Fitness,4.5,838,
Period Tracker by GP Apps,GP Apps,http://www.gpapps.com,"Health & Fitness,Lifestyle",4.5,90405,supportgpa@gmail.com.
Kaiser Permanente,Kaiser Permanente,http://kp.org/thrive,"Health & Fitness,Medical",3,3177,
Sleep Watch by Bodymatter,"Bodymatter, Inc.",http://sleepwatchapp.com,Health & Fitness,4.5,169510,
"Sleep Sounds White Noise, Fan",Energy Flow,http://f621eefc4853a2866069825b0cc7ca90-store.appcloudbox.net,Health & Fitness,4.5,7639,
Relax：Master your destiny,MISSU LIMITED,,Health & Fitness,4.5,329,
Map My Run by Under Armour,"Under Armour, Inc.",http://www.mapmyrun.com,"Health & Fitness,Social Networking",4.5,546834,
Sleepiest: The Sleeping App,Happiest LTD,https://www.sleepiest.com/,"Health & Fitness,Medical",4.5,6907,
WalkFit: Walking & Weight Loss,MOBILIOUS LIMITED,http://walkfit.pro,"Health & Fitness,Lifestyle",4,923,
Femometer Fertility Tracker,"Hangzhou Bangtang Network Technology Co., Ltd",,"Health & Fitness,Medical",5,6876,support@femometer.com
Peloton — Live workout classes,"Peloton Interactive, Inc.",https://www.onepeloton.com,"Health & Fitness,Lifestyle",5,130721,
Diet & Meal Planner by GetFit,GetFit Apps,https://www.getfitapps.com/,"Health & Fitness,Lifestyle",4.5,4786,
Insight Timer - Meditation App,Insight Network Inc,http://www.insighttimer.com,"Health & Fitness,Lifestyle",5,220879,help@insight.co
Rain Rain Sleep Sounds,Tim Gostony,http://www.rainrainapp.com,"Health & Fitness,Medical",5,55226,
BodyFast Intermittent Fasting,BodyFast,,"Health & Fitness,Food & Drink",5,27012,
Synctuition Meditation Program,Synctuition OÜ,,Health & Fitness,4.5,7161,
LA Fitness Mobile,"Fitness International, LLC",http://lafitness.com/Pages/MobileHome.aspx,"Health & Fitness,Lifestyle",2.5,4324,
Replika - My AI Friend,"Luka, Inc.",http://www.replika.ai,"Health & Fitness,Entertainment",4.5,44342,
Runkeeper—GPS Running Tracker,"FitnessKeeper, Inc.",http://www.runkeeper.com,"Health & Fitness,Sports",4.5,232927,
Drink Water ∙ Daily Reminder,App Rover,,"Health & Fitness,Utilities",4.5,10158,
SHRED: Gym Workout & Tracker,"Shred Labs, LLC",http://www.shred.app,Health & Fitness,5,18396,support@shred.app
BetterMe: Period Tracker,Genesis Technology Partners,,Health & Fitness,4,505,support@betterme.tips.
Weight Lifting by FitnessAI,Jake Mor,,"Health & Fitness,Lifestyle",4.5,17175,jake@moonsetlabs.com
VeryFitPro,an he,,Health & Fitness,3,1842,
Period Tracker - Eve,Glow,http://glowing.com,"Health & Fitness,Medical",4.5,100031,support@glowing.com
"Strava: Run, Ride, Swim","Strava, Inc.",https://www.strava.com/how-it-works,"Health & Fitness,Sports",5,123542,
Workout: Gym routines planner,FITNESS22 LTD,http://fitness22.com,"Health & Fitness,Lifestyle",5,68895,
Flat Tummy App: Female Fitness,Synergy CHC Corp,https://flattummyapp.com,"Health & Fitness,Lifestyle",4.5,523,
UnitedHealthcare,"United HealthCare Services, Inc.",,Health & Fitness,5,7087,
Aetna Health,Aetna Life Insurance Company,http://www.aetna.com,"Health & Fitness,Medical",4.5,41026,
Nike Training Club,"Nike, Inc",http://nike.com,"Health & Fitness,Lifestyle",4.5,199716,
PulseInto. Heart Rate Monitor,"OKEANIYA-M, TOV",,"Health & Fitness,Lifestyle",4.5,521,
Pacer Pedometer & Step Tracker,"Pacer Health, Inc",https://www.mypacer.com,"Health & Fitness,Medical",5,104394,
Life Palmistry - AI Palm & Tag,Bluewolf Technology Limited,,Health & Fitness,4.5,1824,lifepalmistry@hotmail.com
Fastic - Fasting App,HealthVida GmbH & Co. KG.,,"Health & Fitness,Lifestyle",5,5239,
Beachbody® On Demand,"Beachbody, LLC",http://www.beachbodyondemand.com/,"Health & Fitness,Lifestyle",5,185983,
Think Dirty – Shop Clean,Think Dirty Inc.,http://www.thinkdirtyapp.com/,"Health & Fitness,Shopping",5,22784,questions@thinkdirtyapp.com
White Noise Deep Sleep Sounds,Kitefaster,https://deepsleepsounds.com,"Health & Fitness,Medical",5,50627,
Step Younger+,Smillage,,Health & Fitness,4.5,12537,stepyoungerpal@gmail.com
SWEAT: Kayla Itsines Fitness,The Bikini Body Training Company Pty Ltd,http://www.sweat.com,"Health & Fitness,Lifestyle",4.5,26522,
Sleep++,"Cross Forward Consulting, LLC",,"Health & Fitness,Utilities",4,5414,
Sleepzy - Sleep Cycle Tracker,Apalon Apps,http://www.apalon.com/good_mornings.html,"Health & Fitness,Lifestyle",4,10006,
My Diet Coach - Weight Loss,InspiredApps,http://www.mydietcoachapp.com/,"Health & Fitness,Lifestyle",4.5,21167,
StepsApp Pedometer,StepsApp GmbH,https://www.steps.app,"Health & Fitness,Lifestyle",5,54021,
White Noise Lite,TMSOFT,https://www.tmsoft.com/white-noise/,"Health & Fitness,Productivity",4,210269,
myCigna,Cigna Corporation,,"Health & Fitness,Medical",5,107788,
Lose Weight in 30 Days,ABISHKKING LIMITED.,http://simpledesign.ltd/,"Health & Fitness,Sports",5,5670,
Garmin Connect™,Garmin,http://www.garmin.com/apps/gcmobile,"Health & Fitness,Sports",4,34983,
Abide - Christian Meditation,Carpenters Code Inc.,https://abide.co,"Health & Fitness,Medical",5,44988,
Google Fit – Activity Tracker,Google LLC,https://www.google.com/fit/,"Health & Fitness,Lifestyle",4,160,
BetterMen: Workout Planner,Genesis Technology Partners,,"Health & Fitness,Lifestyle",4.5,24332,support@betterme.tips
iMassage U Vibrating Massager,Jade Lizard Software LLC,http://www.jadelizardsoftware.com/,"Health & Fitness,Utilities",4,32592,
7 Minute Workout: Fitness App,Fast Builder Limited,https://www.workoutinc.net,"Health & Fitness,Lifestyle",5,46355,
TeasEar - ASMR Slime Simulator,Facemetrics Limited,,"Health & Fitness,Entertainment",4,8568,
Express Scripts,Express Scripts,,Health & Fitness,4.5,48132,
TaoZen - Relax & Sleep Sounds,MWM,,"Health & Fitness,Music",4,318,support-taozen@mwmapps.com
fit52,Creative Labs Management,https://fit52.com,"Health & Fitness,Lifestyle",4.5,92,
HIIT Workouts | Down Dog,Yoga Buddhi Co.,,Health & Fitness,5,1505,
Keto.app - Keto Diet Tracker,Mikhail Platonov,http://keto.app,Health & Fitness,4.5,46854,ios@keto.app
I am - Positive Affirmations,Monkey Taps,,"Health & Fitness,Lifestyle",5,10462,
"Slumber: Fall Asleep, Insomnia","Indian Summer Media, LLC",https://slumber.fm,"Health & Fitness,Medical",4.5,9686,
Virgin Pulse,"Virgin Pulse, Inc",http://virginpulse.com/,Health & Fitness,5,134153,
Fitplan: Gym & Home Workouts,Fitplan Technologies Inc,http://www.fitplanapp.com,"Health & Fitness,Lifestyle",4.5,6416,
Lasting: Marriage Health App,The Knot Inc.,,"Health & Fitness,Lifestyle",4.5,10110,
30 Day Fitness Challenge Pro,ABISHKKING LIMITED.,https://leap.app,"Health & Fitness,Sports",5,11233,
Pedometer++,"Cross Forward Consulting, LLC",https://pedometer.app,"Health & Fitness,Lifestyle",4.5,27604,
Running Distance Tracker Pro,FITNESS22 LTD,,"Health & Fitness,Lifestyle",5,49655,support@fitness22.com
Moshi Twilight Sleep Stories,Mind Candy Ltd,https://www.makebedtimeadream.com/,"Health & Fitness,Lifestyle",4.5,20858,moshi-twilight@moshimonsters.com
Orangetheory Fitness,Orangetheory Fitness,http://www.orangetheoryfitness.com,"Health & Fitness,Lifestyle",5,176700,
Weight Loss Fitness by Verv,Verv Inc.,https://verv.com,"Health & Fitness,Lifestyle",4.5,64327,
Bed Time Fan White Noise Sound,"Indian Summer Media, LLC",https://bedtimefan.com,"Health & Fitness,Lifestyle",5,48830,
Volt: #1 AI Workout App,"Volt Athletics, Inc.",http://www.voltathletics.com,"Health & Fitness,Sports",4.5,8323,"feedback@voltathletics.com,feedback@voltathletics.com"
Whealthy - Rewardable Steps,Wealthy & Healthy,,"Health & Fitness,Games",4.5,112,Whealthy_Service@outlook.com
Daily Yoga: Workout & Fitness,"Daily Yoga Culture Technology Co., Ltd.",http://www.dailyyoga.com/,"Health & Fitness,Lifestyle",4.5,67921,support@dailyyoga.com
Your Texas Benefits,HHSC,http://www.YourTexasBenefits.com,"Health & Fitness,Medical",5,76962,
V Shred: Diet & Fitness,V Shred LLC,https://vshred.com,Health & Fitness,4.5,7205,
Barre Workouts | Down Dog,Yoga Buddhi Co.,,Health & Fitness,5,1419,
Drink Water Reminder N Tracker,Phoenix Games LLP,https://www.facebook.com/drinkwaterapp,"Health & Fitness,Food & Drink",4.5,73877,
7 Minute Workout | Down Dog,Yoga Buddhi Co.,,Health & Fitness,5,1217,
8fit Workouts & Meal Planner,Urbanite Inc.,https://8fit.com/,"Health & Fitness,Food & Drink",4.5,110325,help@8fit.com
Sanity & Self: Stress Relief,Moov Inc.,https://www.sanityandself.com,"Health & Fitness,Lifestyle",5,9279,support@sanityandself.com
RENPHO,Joicom corporation,http://www.renpho.com,"Health & Fitness,Lifestyle",3,757,
Youper,"Youper, Inc.",https://www.youper.ai,"Health & Fitness,Medical",5,10967,
"ShutEye: Sleep Tracker, Sounds",Enerjoy,http://www.enerjoy.life,Health & Fitness,5,177,contact.sleep@enerjoy.life
Facetory: Face Yoga & SkinCare,Harmonybit Ltd,,Health & Fitness,4.5,45,
Six Pack in 30 Days - 6 Pack,ABISHKKING LIMITED.,,Health & Fitness,5,12726,
BetterHelp - Online Counseling,BetterHelp,https://www.betterhelp.com,"Health & Fitness,Lifestyle",4.5,10986,
LIFE Fasting Tracker,"LifeOmic, Inc.",https://lifeapps.io/,"Health & Fitness,Lifestyle",5,44247,
23andMe - DNA Testing,"23andMe, Inc.",https://www.23andme.com/,"Health & Fitness,Lifestyle",5,209995,
The Bump - Pregnancy Countdown,The Knot Inc.,https://www.thebump.com,"Health & Fitness,Medical",4.5,23914,
ClassPass: Fitness Workout App,ClassPass,https://classpass.com/,"Health & Fitness,Lifestyle",5,99901,
My Keto App: Carb Diet Manager,"FJOR NUTRITION, INC.",http://myketo.care/,"Health & Fitness,Lifestyle",4.5,11117,support@myketo.care
"Meditopia: Meditation, Sleep",yedi70,https://meditopia.com,"Health & Fitness,Lifestyle",5,7191,
Sworkit Fitness & Workout App,Nexercise,https://www.sworkit.com,"Health & Fitness,Travel",4.5,39935,
Yoga for Beginners | Mind+Body,Fast Builder Limited,https://www.workoutinc.net,"Health & Fitness,Lifestyle",5,38217,
DoFasting - Fasting Tracker,"Kilo grupe, UAB",https://dofasting.com/,"Health & Fitness,Lifestyle",4.5,8304,
Gymshark | Gym Workout Planner,Gymshark Ltd,,Health & Fitness,4.5,350,
Soothing Sleep Sounds,Phase4 Mobile,http://www.phase4mobile.com,"Health & Fitness,Lifestyle",4.5,10582,
Qardio heart health,"Qardio, Inc.",https://www.getqardio.com,"Health & Fitness,Medical",4.5,17993,
Steps - Activity Tracker,Supercritical Flow,http://yearofcode.com/steps,"Health & Fitness,Lifestyle",4.5,12729,
Heart Rate Monitor - Pulse BPM,wenpeng zeng,http://www.dream8.top/home/en/portal/index.html,"Health & Fitness,Medical",4.5,35402,
Lume Journal,Ruslan Fedorov,,"Health & Fitness,Lifestyle",3.5,37,support@lume.help
FitCoach: Weight Loss Workouts,Masug Portfolio Corp.,,"Health & Fitness,Sports",4.5,1943,
Sleep Sounds by Sleep Pillow,FITNESS22 LTD,http://fitness22.com,"Health & Fitness,Lifestyle",5,64212,support@fitness22.com
Seven - 7 Minute Workout,Perigee,https://seven.app,"Health & Fitness,Sports",4.5,89450,
PulseMe: Heart Rate Monitor,LedaGames,,"Health & Fitness,Utilities",3.5,20,
Coronavírus - SUS,Governo do Brasil,,Health & Fitness,4,20,
Pulse Rate. Heartbeat Monitor,Monitor Heart,,"Health & Fitness,Lifestyle",4.5,267,
StrongHer: Female Fitness,The Vibe Fitness Limited,https://strongherapp.com,"Health & Fitness,Lifestyle",4.5,852,
Oral-B,P&G Productions,,"Health & Fitness,Medical",4.5,47105,
Moodnotes - Mood & CBT Tracker,"ThrivePort, LLC",http://www.thriveport.com/products/moodnotes/,"Health & Fitness,Lifestyle",4.5,7674,support@thriveport.com
Calorie Counter - MyNetDiary,MyNetDiary Inc.,http://www.mynetdiary.com/iPhone.html,"Health & Fitness,Lifestyle",3.5,40549,
Mood Balance - Daily Tracker,Harmonybit Ltd,,Health & Fitness,4.5,1094,
Plant Nanny,Fourdesire,http://fourdesire.com/plantnanny,"Health & Fitness,Games,Role Playing,Adventure",4.5,40576,
Yoga for Beginners | Down Dog,Yoga Buddhi Co.,,"Health & Fitness,Lifestyle",5,3340,
24GO by 24 Hour Fitness,"Yourtrainer, Inc.",https://www.24hourfitness.com/membership/24go/,Health & Fitness,4.5,3924,
Running Walking Tracker Goals,Andreas Kogler,http://apptuitive.at/goals,"Health & Fitness,Lifestyle",4.5,5874,
Daily Workouts Fitness Trainer,"Daily Workout Apps, LLC",http://dailyworkoutapps.com,"Health & Fitness,Lifestyle",4.5,27452,
5K Runner: Couch to 5K Trainer,FITNESS22 LTD,http://www.fitness22.com,"Health & Fitness,Sports",5,53692,"support@fitness22.com,support@fitness22.com"
Female Fitness - Butt Workout,ABISHKKING LIMITED.,,"Health & Fitness,Sports",5,2474,
"Workout for Women, Fitness App",ABISHKKING LIMITED.,https://leap.app/,"Health & Fitness,Sports",5,3409,
Butt Workout and Fitness App,Fast Builder Limited,https://www.workoutinc.net,"Health & Fitness,Lifestyle",5,40714,
Strong Workout Tracker Gym Log,Strong Fitness Ltd.,https://strong.app/,"Health & Fitness,Lifestyle",5,62583,
In-Shape Health Clubs,InShape Health Clubs LLC,,Health & Fitness,3,142,
iFit—Smart Cardio Equipment,"ICON Health & Fitness, Inc.",https://www.ifit.com/,"Health & Fitness,Lifestyle",4.5,10227,
Calorie Counter +,NutraTech Ltd,http://www.nutracheck.com/Info/Phone,"Health & Fitness,Food & Drink",4.5,5317,
iHealth MyVitals,iHealth Labs Inc.,,"Health & Fitness,Medical",2.5,773,
Music Zen - Relaxing Sounds,Gismart,https://gismart.com/,"Health & Fitness,Music",4.5,10763,
MedBridge GO for Patients,MedBridge Education LLC,,"Health & Fitness,Medical",4.5,4674,
My Doctor Online (NCAL Only),Kaiser Permanente,,"Health & Fitness,Medical",3.5,570,
Ab & Core Workouts,Nexercise,http://www.nexercise.com,"Health & Fitness,Travel",5,36088,
"Drink Water Reminder, Tracker",Energy Flow,http://d4aff7f26e9fc208e807f9a7c64a1567-store.appcloudbox.net,Health & Fitness,4.5,11755,
My Calendar - Period Tracker,SimpleInnovation LLC,,"Health & Fitness,Utilities",5,13190,
"Glow Period, Fertility Tracker",Glow,https://glowing.com,"Health & Fitness,Medical",4.5,63988,support@glowing.com
LIFE Extend · Healthy Living,"LifeOmic, Inc.",http://lifeapps.io,"Health & Fitness,Medical",4.5,183,
C25K® 5K Trainer,Zen Labs,https://www.zenlabsfitness.com,"Health & Fitness,Sports",5,99771,contactus@zenlabsfitness.com
Mesmerize - Visual Meditation,Rockwell Ventures,https://mesmerizeapp.com/,"Health & Fitness,Lifestyle",5,4185,support@mesmerizeapp.com
Interval Timer - HIIT Workouts,Deltaworks,,Health & Fitness,4.5,10423,
Drink water: Drinking reminder,"TOH CO.,LTD",,"Health & Fitness,Medical",4.5,3111,app@tohsoft.com
Face Exercises,Daily Apps,http://dailyltd.com,"Health & Fitness,Reference",4,1162,
Aura: Mindfulness & Sleep,Aura Health Inc.,http://www.aurahealth.io,"Health & Fitness,Lifestyle",4.5,19423,
FitHer: Workout for Women,Taskoob Inc.,https://taskoob.com,Health & Fitness,4.5,876,
Life - Period Tracker Calendar,Life Fertility Tracker IVS,,"Health & Fitness,Medical",5,90208,life@appholdings.org
"Stop, Breathe & Think","Stop, Breathe & Think",http://stopbreathethink.com,"Health & Fitness,Education",5,16596,
Day One Journal,Bloom Built Inc,https://dayoneapp.com,"Health & Fitness,Productivity",4.5,53301,support@dayoneapp.com
Cronometer · Nutrition Tracker,Cronometer Software Inc,https://cronometer.com,"Health & Fitness,Food & Drink",4.5,8341,
Weight Loss Walking by Verv,Verv Inc.,https://verv.com/,"Health & Fitness,Lifestyle",4,15451,
Six Pack in 30 Days,TAKALOGY TECHNOLOGY CORPORATION,,"Health & Fitness,Education",4.5,12294,
